ratio_activity,mother,replicate,larval_treat_d1,larval_treat_d5,,,,,,,,
,,,,,,,,,,,,
Mother treatment -->,,DO,DO,CON,CON,,,,,,,
Mother,Replicates,G79,G91,G72,G73,,,,,,,
Day 1 Orig,vial 2,NaN,0.067954777,NaN,NaN,,,,,,,
,vial3,0.333288756,0.342622691,0.531353789,NaN,,,,,,,
,vial 4,0.070892111,0.362124932,NaN,0.139721114,,,,,,,
,vial 5,0.354025111,0.444945175,0.468819023,0.531652153,,,,,,,
,vial 6,0.080981972,0.100242378,0.237568691,0.445347807,,,,,,,
,vial 7,0.061787696,NaN,NaN,0.458251187,,,,,,,
,vial 8,0.142941368,0.296953952,0.515990933,NaN,,,,,,,
,vial 9,0.080002862,0.090089683,0.410137645,0.114015185,,,,,,,
Day 5 Orig,vial 2,0.489459166,0.398145728,0.468932633,0.400681499,,,,,,,
,vial3,0.249734363,0.073306196,0.455687939,0.132531065,,,,,,,
,vial 4,0.325804696,NaN,NaN,0.555765724,,,,,,,
,vial 5,NaN,NaN,0.09795285,0.124451605,,,,,,,
,vial 6,0.414124869,NaN,0.307777266,NaN,,,,,,,
,vial 7,NaN,0.099594994,0.140036123,0.522702886,,,,,,,
,vial 8,0.452200122,0.359643987,0.139278309,0.722845363,,,,,,,
,vial 9,0.118577316,NaN,0.341171422,0.109099984,,,,,,,
Day 5 Orig->TREAT,vial 2,NaN,NaN,0.560552955,NaN,,,,,,,
,vial3,NaN,0.334483791,NaN,0.126756672,,,,,,,
,vial 4,NaN,NaN,NaN,0.420933303,,,,,,,
,vial 5,0.328746894,0.150070239,0.110687411,0.456627128,,,,,,,
,vial 6,0.246353083,0.125515765,0.367885028,NaN,,,,,,,
,vial 7,0.140277656,NaN,0.292089041,NaN,,,,,,,
,vial 8,0.106085381,NaN,0.092128553,0.131276611,,,,,,,
,vial 9,0.293416868,0.122074789,0.115244873,0.460453965,,,,,,,
