ratio_activity,mother,replicate_num,d1_treat,d5_treat,,,,,,,,,,,,,
NA,G72,2,con,NA,,,,,,,,,,,,,
0.531353789,G72,3,con,NA,,,,,,,,,,,,,
NA,G72,4,con,NA,,,,,,,,,,,,,
0.468819023,G72,5,con,NA,,,,,,,,,,,,,
0.237568691,G72,6,con,NA,,,,,,,,,,,,,
NA,G72,7,con,NA,,,,,,,,,,,,,
0.515990933,G72,8,con,NA,,,,,,,,,,,,,
0.410137645,G72,9,con,NA,,,,,,,,,,,,,
0.468932633,G72,2,con,con,,,,,,,,,,,,,
0.455687939,G72,3,con,con,,,,,,,,,,,,,
NA,G72,4,con,con,,,,,,,,,,,,,
0.09795285,G72,5,con,con,,,,,,,,,,,,,
0.307777266,G72,6,con,con,,,,,,,,,,,,,
0.140036123,G72,7,con,con,,,,,,,,,,,,,
0.139278266,G72,8,con,con,,,,,,,,,,,,,
0.341171422,G72,9,con,con,,,,,,,,,,,,,
0.560552955,G72,2,con,hyp,,,,,,,,,,,,,
NA,G72,3,con,hyp,,,,,,,,,,,,,
NA,G72,4,con,hyp,,,,,,,,,,,,,
0.110687411,G72,5,con,hyp,,,,,,,,,,,,,
0.367885028,G72,6,con,hyp,,,,,,,,,,,,,
0.292089041,G72,7,con,hyp,,,,,,,,,,,,,
0.092128553,G72,8,con,hyp,,,,,,,,,,,,,
0.115244873,G72,9,con,hyp,,,,,,,,,,,,,
NA,G72,2,con,cross,,,,,,,,,,,,,
NA,G72,3,con,cross,,,,,,,,,,,,,
NA,G72,4,con,cross,,,,,,,,,,,,,
NA,G72,5,con,cross,,,,,,,,,,,,,
0.755959226,G72,6,con,cross,,,,,,,,,,,,,
NA,G72,7,con,cross,,,,,,,,,,,,,
NA,G72,8,con,cross,,,,,,,,,,,,,
1.613520876,G72,9,con,cross,,,,,,,,,,,,,
NA,G73,2,con,NA,,,,,,,,,,,,,
NA,G73,3,con,NA,,,,,,,,,,,,,
0.139721114,G73,4,con,NA,,,,,,,,,,,,,
0.531652153,G73,5,con,NA,,,,,,,,,,,,,
0.445347807,G73,6,con,NA,,,,,,,,,,,,,
0.458251187,G73,7,con,NA,,,,,,,,,,,,,
NA,G73,8,con,NA,,,,,,,,,,,,,
0.114015185,G73,9,con,NA,,,,,,,,,,,,,
0.400681499,G73,2,con,con,,,,,,,,,,,,,
0.132531065,G73,3,con,con,,,,,,,,,,,,,
0.555765724,G73,4,con,con,,,,,,,,,,,,,
0.124451605,G73,5,con,con,,,,,,,,,,,,,
NA,G73,6,con,con,,,,,,,,,,,,,
0.522702886,G73,7,con,con,,,,,,,,,,,,,
0.722845363,G73,8,con,con,,,,,,,,,,,,,
0.109099984,G73,9,con,con,,,,,,,,,,,,,
NA,G73,2,con,hyp,,,,,,,,,,,,,
0.126756672,G73,3,con,hyp,,,,,,,,,,,,,
0.420933303,G73,4,con,hyp,,,,,,,,,,,,,
0.456627128,G73,5,con,hyp,,,,,,,,,,,,,
NA,G73,6,con,hyp,,,,,,,,,,,,,
NA,G73,7,con,hyp,,,,,,,,,,,,,
0.131276611,G73,8,con,hyp,,,,,,,,,,,,,
0.460453965,G73,9,con,hyp,,,,,,,,,,,,,
NA,G73,2,con,cross,,,,,,,,,,,,,
1.076001802,G73,3,con,cross,,,,,,,,,,,,,
NA,G73,4,con,cross,,,,,,,,,,,,,
NA,G73,5,con,cross,,,,,,,,,,,,,
NA,G73,6,con,cross,,,,,,,,,,,,,
0.219037018,G73,7,con,cross,,,,,,,,,,,,,
0.626729904,G73,8,con,cross,,,,,,,,,,,,,
0.839477263,G73,9,con,cross,,,,,,,,,,,,,
NA,G79,2,hyp,NA,,,,,,,,,,,,,
0.333288756,G79,3,hyp,NA,,,,,,,,,,,,,
0.070892111,G79,4,hyp,NA,,,,,,,,,,,,,
0.354025111,G79,5,hyp,NA,,,,,,,,,,,,,
0.080981972,G79,6,hyp,NA,,,,,,,,,,,,,
0.061787696,G79,7,hyp,NA,,,,,,,,,,,,,
0.142941368,G79,8,hyp,NA,,,,,,,,,,,,,
0.080002862,G79,9,hyp,NA,,,,,,,,,,,,,
0.489459166,G79,2,hyp,hyp,,,,,,,,,,,,,
0.249734363,G79,3,hyp,hyp,,,,,,,,,,,,,
0.325804696,G79,4,hyp,hyp,,,,,,,,,,,,,
NA,G79,5,hyp,hyp,,,,,,,,,,,,,
0.414124869,G79,6,hyp,hyp,,,,,,,,,,,,,
NA,G79,7,hyp,hyp,,,,,,,,,,,,,
0.452200122,G79,8,hyp,hyp,,,,,,,,,,,,,
0.118577316,G79,9,hyp,hyp,,,,,,,,,,,,,
NA,G79,2,hyp,con,,,,,,,,,,,,,
NA,G79,3,hyp,con,,,,,,,,,,,,,
NA,G79,4,hyp,con,,,,,,,,,,,,,
0.328746894,G79,5,hyp,con,,,,,,,,,,,,,
0.246353083,G79,6,hyp,con,,,,,,,,,,,,,
0.140277656,G79,7,hyp,con,,,,,,,,,,,,,
0.106085381,G79,8,hyp,con,,,,,,,,,,,,,
0.293416868,G79,9,hyp,con,,,,,,,,,,,,,
NA,G79,2,hyp,cross,,,,,,,,,,,,,
0.240797557,G79,3,hyp,cross,,,,,,,,,,,,,
NA,G79,4,hyp,cross,,,,,,,,,,,,,
NA,G79,5,hyp,cross,,,,,,,,,,,,,
0.243618399,G79,6,hyp,cross,,,,,,,,,,,,,
0.58008687,G79,7,hyp,cross,,,,,,,,,,,,,
0.114559678,G79,8,hyp,cross,,,,,,,,,,,,,
0.326136204,G79,9,hyp,cross,,,,,,,,,,,,,
0.067945972,G91,2,hyp,NA,,,,,,,,,,,,,
0.342622691,G91,3,hyp,NA,,,,,,,,,,,,,
0.362124932,G91,4,hyp,NA,,,,,,,,,,,,,
0.444945175,G91,5,hyp,NA,,,,,,,,,,,,,
0.100242378,G91,6,hyp,NA,,,,,,,,,,,,,
NA,G91,7,hyp,NA,,,,,,,,,,,,,
0.296953952,G91,8,hyp,NA,,,,,,,,,,,,,
0.090089683,G91,9,hyp,NA,,,,,,,,,,,,,
0.398145728,G91,2,hyp,hyp,,,,,,,,,,,,,
0.073306196,G91,3,hyp,hyp,,,,,,,,,,,,,
NA,G91,4,hyp,hyp,,,,,,,,,,,,,
NA,G91,5,hyp,hyp,,,,,,,,,,,,,
NA,G91,6,hyp,hyp,,,,,,,,,,,,,
0.099594994,G91,7,hyp,hyp,,,,,,,,,,,,,
0.359643987,G91,8,hyp,hyp,,,,,,,,,,,,,
NA,G91,9,hyp,hyp,,,,,,,,,,,,,
NA,G91,2,hyp,con,,,,,,,,,,,,,
0.334483791,G91,3,hyp,con,,,,,,,,,,,,,
NA,G91,4,hyp,con,,,,,,,,,,,,,
